sentence_id,paper_id
74338,0
7072,1
16426,2
41888,2
41910,2
41987,2
42003,2
42354,2
66103,2
75621,2
45007,3
27039,5
27085,5
5737,6
38783,6
21639,7
3170,10
21255,14
75694,14
75709,14
10182,15
46306,17
51303,18
51373,18
49268,21
79673,25
24142,27
50942,27
50969,27
50973,27
50995,27
58990,27
59139,27
59145,27
59152,27
59154,27
33366,31
33377,31
33380,31
33400,31
33409,31
33410,31
33456,31
51005,31
51006,31
79119,31
79122,31
79124,31
79137,31
79146,31
79153,31
79196,31
314,32
4221,32
22533,32
54627,32
54640,32
10790,35
10791,35
10818,35
11443,35
15407,35
15409,35
15414,35
15445,35
15450,35
15464,35
31501,35
31503,35
34203,35
49385,35
50967,37
66343,37
79181,37
79191,37
31715,39
67583,39
67689,39
67717,39
67741,39
12364,40
12418,40
12912,40
12935,40
12943,40
12948,40
12985,40
12996,40
13204,41
55846,41
79785,41
62257,43
62258,43
30695,44
30743,44
30800,44
57391,44
57397,44
57406,44
57426,44
57436,44
825,45
45985,45
49729,45
49751,45
49815,45
49822,45
49841,45
49861,45
49869,45
49885,45
49924,45
49940,45
49945,45
49949,45
49971,45
49980,45
49991,45
50009,45
50010,45
50020,45
50025,45
50027,45
50030,45
50033,45
50035,45
50048,45
50051,45
50053,45
50068,45
50072,45
50074,45
50080,45
50082,45
50086,45
50091,45
50092,45
50098,45
50110,45
50116,45
50120,45
50124,45
50131,45
52238,45
61038,46
49174,47
49189,47
49200,47
49201,47
49286,47
61713,47
61714,47
61734,47
61736,47
61743,47
61768,47
61780,47
61796,47
61797,47
3762,53
11386,53
11393,53
48231,53
48255,53
48275,53
61986,54
62019,54
62026,54
4016,56
3198,58
40894,58
40946,58
40962,58
41018,58
41046,58
53721,58
28477,60
28492,60
28518,60
28555,60
28577,60
28603,60
29229,60
47309,60
72962,62
30402,68
30416,68
30455,68
30462,68
30464,68
30465,68
68298,70
68253,71
17913,75
17933,75
40943,75
70866,78
71388,78
79756,80
79758,80
80239,80
80308,80
80331,80
80334,80
80395,80
4242,81
14006,85
14028,85
14050,85
14062,85
22830,85
23187,85
23215,85
23219,85
11932,86
11941,86
11945,86
11968,86
12029,86
12034,86
12050,86
12062,86
51143,89
51238,89
51271,89
51274,89
51282,89
51324,89
51334,89
51337,89
51340,89
51342,89
51380,89
51430,89
51436,89
51443,89
30289,90
30362,90
30363,90
30364,90
30367,90
30368,90
30391,90
30393,90
38746,91
67576,93
67577,93
67578,93
67582,93
70914,95
70952,95
13948,98
13990,98
14401,100
14453,100
70663,100
70684,100
70719,100
70738,100
70760,100
25478,102
17896,103
17947,103
71657,104
49366,106
49376,106
14994,107
8850,108
8867,108
21637,108
69364,108
7503,110
29664,114
29666,114
2480,115
2547,115
14167,115
65764,115
297,116
36102,118
49185,121
49244,121
49245,121
1290,122
1346,122
1352,122
1353,122
1369,122
1597,122
11330,122
11550,122
11575,122
11588,122
11594,122
11598,122
11613,122
71207,123
74189,123
39803,128
39816,128
45431,128
80025,128
18229,129
18267,129
74179,135
74243,135
33433,136
13183,139
18776,140
18786,140
18803,140
18846,140
18999,140
8393,143
51000,143
19001,144
19016,144
29144,144
38422,148
54047,148
65114,148
10841,149
14029,149
23257,149
23268,149
23274,149
17707,153
17721,153
51575,153
51626,153
73439,153
41449,154
52265,154
52266,154
52268,154
52292,154
52295,154
47813,155
21072,157
21401,157
22346,157
44424,157
28612,159
37920,159
37974,159
37979,159
37984,159
37992,159
37994,159
37995,159
37996,159
37997,159
37998,159
37999,159
38003,159
38012,159
38014,159
38017,159
38018,159
30902,160
47129,161
47138,161
47162,161
47179,161
72546,161
4893,162
4919,162
69662,162
69703,162
49747,165
49783,165
47153,166
54046,166
21758,170
21760,170
13755,172
33411,173
67999,178
68065,178
75018,178
46087,180
46186,180
55107,180
75708,181
51128,183
51244,183
54790,187
54819,187
54830,187
54835,187
54838,187
54839,187
54856,187
54887,187
54888,187
54889,187
54891,187
54898,187
54903,187
11639,188
11719,188
11722,188
11739,188
12116,188
64269,190
11752,191
11832,191
12529,191
12530,191
47407,191
27050,206
44827,208
44828,208
47261,208
47348,208
47349,208
47371,208
47375,208
47834,208
48323,208
54567,208
67909,208
47164,211
72576,211
72579,211
72586,211
72588,211
36800,212
36819,212
36927,212
71175,212
71179,212
71227,212
71235,212
40995,213
43197,213
32638,214
9342,215
71386,220
71431,220
71459,220
71465,220
11544,221
11576,221
11589,221
11595,221
11599,221
11614,221
50928,221
17736,222
71652,226
3455,227
3521,227
77141,233
20265,235
15584,241
44166,242
44178,242
49808,242
71939,242
71940,242
71997,242
71998,242
71999,242
72000,242
20661,247
21203,248
21583,248
21627,248
21679,248
40927,248
30444,250
40200,252
37553,253
37554,253
37584,253
77703,253
77759,253
77776,253
46877,258
47191,258
47198,258
72906,258
72914,258
31472,267
45959,267
51409,267
303,271
22532,271
22547,271
67938,271
67966,271
38632,276
78519,280
10393,283
25396,284
35837,290
46224,296
46239,296
10775,297
10776,297
10787,297
10789,297
10819,297
22584,297
28619,297
28659,297
28680,297
51627,297
72963,299
67392,300
68317,306
68323,306
21321,307
75717,307
12130,309
9014,310
9048,310
9052,310
18532,310
18536,310
15628,312
15754,312
40982,313
43741,314
46957,315
46959,315
14936,316
73435,317
73441,317
22664,318
28622,318
28693,318
71307,318
71322,318
18299,321
78330,321
78333,321
18561,325
48272,326
78313,326
33407,327
33441,327
33452,327
77042,329
8909,331
8911,331
32693,331
32697,331
32738,331
32740,331
32790,331
47146,334
54098,334
73066,334
73081,334
39747,335
39749,335
39766,335
40358,336
45604,336
48244,338
12362,339
20713,342
13684,343
13704,343
13761,343
13780,343
13784,343
29016,343
31160,343
57870,343
57873,343
57874,343
29674,344
40528,344
53280,344
55988,346
56019,346
47412,347
40500,348
40765,348
3925,349
40779,349
40787,349
43585,350
43623,350
39780,351
39783,351
39796,351
39811,351
49375,351
49463,351
51188,352
55077,352
55084,352
55105,352
55175,352
73203,354
73209,354
73257,354
21082,355
21340,355
21346,355
58950,355
68895,357
68900,357
1012,358
46065,358
46071,358
46126,358
46132,358
17301,363
17312,363
17317,363
33881,367
62898,367
8851,369
48332,370
48344,370
53043,373
53048,373
4471,380
9567,380
48535,381
48624,381
65310,382
30969,383
11615,385
3433,387
8164,389
8196,389
16434,389
25634,389
26303,389
75622,389
77558,389
22437,390
5550,394
62199,395
62204,395
62269,395
62274,395
58776,396
58847,396
58977,396
59018,396
59166,396
67759,398
44543,400
33216,405
47639,406
47643,406
47657,406
9026,408
9099,408
9100,408
9101,408
9115,408
32649,408
32657,408
26665,419
52283,421
13329,423
17160,426
17238,426
19614,426
19630,426
14208,427
14296,427
36222,428
36257,428
36265,428
36280,428
36283,428
36324,428
36330,428
3841,429
3842,429
10177,429
19142,429
19153,429
21824,429
39547,429
39664,429
16196,430
43137,431
78518,433
78548,433
78550,433
2041,435
66096,435
20696,436
20722,436
20748,436
20758,436
14612,437
16712,437
16743,437
16757,437
16758,437
25303,437
25304,437
46192,438
54711,438
72719,438
72744,438
22789,443
28461,445
28502,445
67622,445
32224,449
3386,455
4910,455
70130,455
47814,459
48084,459
48098,459
48309,459
48391,459
48411,459
64862,460
64871,460
64914,460
64930,460
64945,460
11500,463
11501,463
11506,463
11522,463
11524,463
11528,463
11531,463
14511,463
14514,463
14518,463
14534,463
14556,463
14570,463
14584,463
14586,463
14588,463
14590,463
14600,463
35709,463
35715,463
35719,463
35771,463
35780,463
38667,463
70688,463
70693,463
70718,463
53308,467
53309,467
53316,467
53318,467
53363,467
53372,467
65027,467
32639,468
65006,468
66104,470
48702,472
20953,473
71381,473
71491,473
1897,476
31770,478
32223,478
33071,478
68580,478
21075,479
12560,480
12561,480
56765,480
56806,480
614,485
72847,485
33921,493
73015,493
65274,495
22843,498
79957,498
80008,498
21367,500
22174,500
22237,500
29978,501
29994,501
63212,501
63284,501
5926,508
5927,508
5928,508
5934,508
5935,508
5938,508
5945,508
5954,508
5967,508
5973,508
5975,508
6028,508
33660,508
75059,509
75432,509
11746,510
11774,510
47410,510
48310,510
48327,510
48362,510
48365,510
48404,510
48408,510
40798,511
40832,511
410,512
430,512
1064,512
46098,512
47409,512
54769,512
54803,512
54806,512
67939,512
67963,512
72678,512
12262,513
12312,513
12313,513
12356,513
40499,514
55096,518
55123,518
55132,518
55135,518
55137,518
55160,518
38829,520
38908,520
39014,520
39033,520
39067,520
39091,520
9339,521
13303,522
13305,522
13335,522
14009,522
14037,522
14119,522
14160,522
439,525
23168,525
54388,526
54404,526
54406,526
54038,528
65029,528
1591,529
33426,529
18372,531
18385,531
18438,531
18445,531
18514,531
31842,531
31998,531
39327,531
39369,531
39375,531
39387,531
39392,531
39408,531
39413,531
39419,531
39424,531
39652,531
40180,531
40292,531
40299,531
75068,531
45863,532
9396,533
9472,533
44257,533
22218,535
50561,535
23322,539
23353,539
55366,542
55372,542
55383,542
55406,542
55410,542
55413,542
55456,542
55473,542
55475,542
55484,542
55492,542
19858,544
19861,544
19864,544
19869,544
19870,544
19872,544
19876,544
19881,544
19884,544
19885,544
19886,544
19888,544
19902,544
19903,544
19906,544
19916,544
19918,544
19926,544
19954,544
34245,544
67421,546
51882,547
52251,547
52285,547
52288,547
52298,547
52311,547
14566,552
20882,552
21154,554
21169,554
43285,554
43327,554
43331,554
43334,554
43335,554
43396,554
21414,562
21566,562
47188,566
24036,569
24579,569
24594,569
57969,569
58015,569
9015,571
9049,571
9053,571
9054,571
18535,571
18565,571
32412,572
18880,574
18913,574
22650,574
22708,574
22713,574
54468,574
54495,574
34507,575
34538,575
47131,576
47160,576
54674,576
16708,579
16760,579
76086,579
76231,579
32928,581
58793,581
58886,581
58923,581
33837,582
42284,583
44356,583
44359,583
44374,583
44385,583
44394,583
15993,584
16038,584
33878,587
54238,587
54271,587
65112,587
34190,590
69999,594
70072,594
70092,594
20297,600
20311,600
61984,603
62513,603
62529,603
62549,603
16916,609
16919,609
28650,610
54825,610
54826,610
43627,611
53151,615
53213,615
10770,616
10781,616
10786,616
10798,616
10803,616
10827,616
10839,616
73091,620
73092,620
73122,620
20730,623
20734,623
20760,623
20761,623
20776,623
20787,623
20800,623
78910,623
78912,623
78917,623
78924,623
78925,623
78933,623
78937,623
40924,630
30685,631
30696,631
30745,631
65648,636
678,637
3882,637
26029,637
26059,637
26066,637
26068,637
26183,637
27048,637
27515,637
27516,637
27535,637
27607,637
27640,637
27658,637
27667,637
27683,637
27782,637
27823,637
32386,637
32388,637
32389,637
45047,637
45077,637
69370,637
71946,637
71991,637
14014,641
14034,641
23301,641
28656,642
28719,642
15160,643
20792,643
31177,643
31179,643
72129,646
19682,648
49237,648
78520,649
78559,649
13763,650
13312,651
13315,651
14008,651
14042,651
14056,651
14063,651
14076,651
14089,651
14118,651
22827,651
68736,651
26661,653
26692,653
73612,653
73615,653
23072,658
23128,658
18970,662
58102,663
58149,663
77064,663
6155,664
40719,664
44986,664
45063,664
60787,664
61830,664
69303,664
69381,664
69391,664
69398,664
69412,664
69413,664
36001,666
3358,667
10172,667
10253,667
10665,667
16723,667
18230,667
20798,667
27774,667
27776,667
27777,667
27791,667
27795,667
27796,667
27815,667
27816,667
27819,667
27834,667
27837,667
27839,667
41005,667
42094,667
42099,667
43184,667
65914,667
65961,667
65964,667
66015,667
69962,667
72125,667
80693,667
42696,668
51868,672
51899,672
51900,672
12252,673
12335,673
12359,673
23188,675
23214,675
23223,675
16204,676
16272,676
28374,676
13687,677
13714,677
13741,677
28890,677
51269,677
51273,677
51292,677
51366,677
51370,677
51375,677
31147,678
20827,679
79290,680
76702,681
40355,683
70069,683
4105,684
3535,687
865,688
3381,688
54617,688
63430,690
63494,690
63573,690
63574,690
41402,691
73300,692
73313,692
73317,692
73319,692
73322,692
73324,692
73327,692
58152,695
58197,695
58234,695
58252,695
22368,696
68250,699
46880,701
46893,701
18904,702
54263,702
18898,703
27517,704
27527,704
27530,704
27531,704
27602,704
27610,704
27662,704
58549,704
58586,704
42549,705
42592,705
76185,705
46819,706
18242,709
18278,709
18301,709
18306,709
18309,709
32400,709
36019,709
36022,709
36058,709
36075,709
36093,709
36122,709
45024,709
45085,709
45087,709
67960,709
67984,709
68091,709
78271,709
78283,709
72619,712
72625,712
72643,712
72650,712
72654,712
66310,714
24221,715
24223,715
24239,715
10628,716
10663,716
26391,717
23180,720
23190,720
23234,720
23299,720
69564,720
69580,720
40516,723
39913,724
39914,724
39916,724
39957,724
39969,724
1157,726
21856,728
41770,728
41776,728
41811,728
42345,728
42350,728
42372,728
42389,728
42392,728
42409,728
42418,728
42432,728
42434,728
42452,728
42454,728
42464,728
42468,728
43544,728
54342,729
80681,729
40789,730
